ID;Active (0/1);Name *;Categories (x,y,z...);Wholesale price;Brand;Delivery;Availability;Description
;1;Figurka Warhammer 40k Ork Big Mek McFarlane Toys 30 cm;(McFarlane Toys,Inne Gry);65,00z³;McFarlane Toys;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong>Figurka Warhammer 40k Ork Big Mek McFarlane Toys 30 cm.</strong></p><p><strong>Wymiary figurki: ok. 30 cm</strong></p><p>Produkt oryginalny, licencjonowany.</p><p>SprawdŸ tak¿e pozosta³e figurki McFarlane Toys dostêpne w naszym geekowym sklepie.</p></div>
;1;Figurka Aquaman and the Lost Kingdom DC Multiverse King Kordax 18 cm;(McFarlane Toys,Batman);75,00z³;McFarlane Toys;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong>Figurka Aquaman and the Lost Kingdom DC Multiverse King Kordax.</strong></p><p>Figurka posiada kilkanaœcie punktów artykulacji oraz dodatkowe akcesoria.</p><p>Mo¿liwoœæ ustawienia figurki w ró¿nych pozycjach.</p><p>Wymiary: ok. 18 cm.</p><p>Ca³oœæ w oryginalnym opakowaniu z motywami DC Comics.</p><p>Produkt oryginalny, licencjonowany.</p><p>SprawdŸ tak¿e pozosta³e figurki McFarlane Toys dostêpne w naszym geekowym sklepie.</p></div>
;1;Figurka DC Black Adam Atom Smasher 30 cm;(McFarlane Toys,DC Comics);75,00z³;McFarlane Toys;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong>Figurka DC Black Adam Atom Smasher 30 cm.</strong></p><p><strong>Wymiary figurki: ok. 30 cm</strong></p><p>Produkt oryginalny, licencjonowany.</p><p>SprawdŸ tak¿e pozosta³e figurki McFarlane Toys dostêpne w naszym geekowym sklepie.</p></div>
;1;Figurka DC Multiverse The Signal (Duke Thomas) 18 cm;(McFarlane Toys,Batman);65,00z³;McFarlane Toys;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong>Figurka DC Multiverse The Signal (Duke Thomas) 18 cm.</strong></p><p>Figurka posiada kilkanaœcie punktów artykulacji oraz dodatkowe akcesoria.</p><p>Mo¿liwoœæ ustawienia figurki w ró¿nych pozycjach.</p><p>Wymiary: ok. 18 cm.</p><p>Ca³oœæ w oryginalnym opakowaniu z motywami DC Comics.</p><p>Produkt oryginalny, licencjonowany.</p><p>SprawdŸ tak¿e pozosta³e figurki McFarlane Toys dostêpne w naszym geekowym sklepie.</p></div>
;1;Figurka DC Black Adam Atom Smasher 18 cm;(McFarlane Toys,Batman);65,00z³;McFarlane Toys;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong>Figurka DC Black Adam Atom Smasher 18 cm.</strong></p><p>Figurka posiada kilkanaœcie punktów artykulacji oraz dodatkowe akcesoria.</p><p>Mo¿liwoœæ ustawienia figurki w ró¿nych pozycjach.</p><p>Wymiary: ok. 18 cm.</p><p>Ca³oœæ w oryginalnym opakowaniu z motywami DC Comics.</p><p>Produkt oryginalny, licencjonowany.</p><p>SprawdŸ tak¿e pozosta³e figurki McFarlane Toys dostêpne w naszym geekowym sklepie.</p></div>
;1;Figurka McFarlane Toys DC Retro Batman 66 Lord Death Man;(McFarlane Toys,Batman);59,00z³;McFarlane Toys;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong>Figurka McFarlane Toys DC Retro Batman 66 Lord Death Man (Comic) 15 cm.</strong></p><p>Figurka posiada kilkanaœcie punktów artykulacji oraz dodatkowe akcesoria.</p><p>Mo¿liwoœæ ustawienia figurki w ró¿nych pozycjach.</p><p>Wymiary: ok. 15 cm.</p><p>Ca³oœæ w oryginalnym opakowaniu z motywami DC Comics.</p><p>Produkt oryginalny, licencjonowany.</p><p>SprawdŸ tak¿e pozosta³e figurki McFarlane Toys dostêpne w naszym geekowym sklepie.</p></div>
;1;Figurka DC The Flash Movie Exclusive (Gold Label) 30 cm;(McFarlane Toys,DC Comics);65,00z³;McFarlane Toys;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong>Figurka DC The Flash Movie Exclusive (Gold Label) 30 cm.</strong></p><p><strong>Wymiary figurki: ok. 30 cm</strong></p><p>Produkt oryginalny, licencjonowany.</p><p>SprawdŸ tak¿e pozosta³e figurki McFarlane Toys dostêpne w naszym geekowym sklepie.</p></div>
;1;Figurka LeBron Funko POP! NBA Lakers;(Funko,Gad¿ety koszykarskie);69,99z³;Funko;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong>Figurka LeBron Funko POP! NBA Lakers.</strong></p><p>Urocza figurka wykonana jest z winylu.</p><p>Wymiary: ok. 9 cm.</p><p>Produkt oryginalny, licencjonowany.</p></div>
;1;Figurka Hagrid w Garniturze Funko POP! 15 cm;(Funko,Figurki);109,00z³;Funko;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong>Figurka Hagrid w Garniturze Funko POP! 15 cm.</strong></p><p>Ca³oœæ w oryginalnym opakowaniu.</p><p>Produkt oryginalny, licencjonowany.</p><p>Wymiary: 15 cm.</p><p>SprawdŸ tak¿e pozosta³e figurki Funko POP! dostêpne w naszym geekowym sklepie.</p><p> </p></div>
;1;Figurka Charizard Funko POP Pokemon Jumbo 25 cm;(Funko,Pokemon);189,00z³;Funko;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong><span style="font-size: small;">Figurka Charizard Funko POP Pokemon Jumbo 25 cm.</span></strong></p><p><span style="font-size: small;">Urocza figurka wykonana jest z winylu.</span></p><p><span style="font-size: small;">Wymiary: ok. 25 cm.</span></p><p><span style="font-size: small;">Ca³oœæ w oryginalnym opakowaniu.</span></p><p><span style="font-size: small;">Produkt oryginalny, licencjonowany.</span></p><p><span style="font-size: small;">Z uwagi na wielkoœæ figurki opakowanie mo¿e nie byæ w idealnym stanie.</span></p></div>
