ID;Active (0/1);Name *;Parent category;Root category (0/1);URL rewritten;ParentID
40;1;Repliki;Zakupy wg kategorii;0;repliki;3
41;1;Repliki Filmowe;Repliki;0;repliki-filmowe;40
42;1;Repliki z Gier;Repliki;0;repliki-z-gier;40
43;1;Różdżki;Repliki;0;rozdzki;40
44;1;Gadżety sportowe;Zakupy wg kategorii;0;gadzety-sportowe;3
45;1;Gadżety piłkarskie;Gadżety sportowe;0;gadzety-pilkarskie;44
46;1;Gadżety koszykarskie;Gadżety sportowe;0;gadzety-koszykarskie;44
47;1;Inne gadżety sportowe;Gadżety sportowe;0;inne-gadzety-sportowe;44
48;1;Akcesoria szkolne;Zakupy wg kategorii;0;akcesoria-szkolne;3
49;1;Zakupy wg tematyki;Home;0;zakupy-wg-tematyki;1
